wall_time,time_s,seq,v1,v2,v3,T_surf,T_rise,current,acoustic_rms,SOC_pct,soc_est,soh_est,fault_bits_hex,fault_names,chg_open,dsc_open,ground_truth,outcome
2026-06-25T15:21:28.317+00:00,0.0,1,4.0556,4.0581,4.0628,26.45,1.45,-2.902,0.0211,100.00,100.00,99.42,0x0000,NONE,OPEN,OPEN,0,TN
2026-06-25T15:21:28.439+00:00,1.0,11,4.0524,4.0596,4.0454,26.51,1.51,-2.908,0.0203,99.97,97.80,98.91,0x0000,NONE,CLOSED,CLOSED,0,TN
2026-06-25T15:21:28.565+00:00,2.0,21,4.0579,4.0564,4.0576,26.56,1.56,-2.906,0.0139,99.94,97.77,98.92,0x0000,NONE,CLOSED,CLOSED,0,TN
2026-06-25T15:21:28.689+00:00,3.0,31,4.0514,4.0687,4.0654,26.47,1.47,-2.893,0.0129,99.92,97.77,98.93,0x0000,NONE,CLOSED,CLOSED,0,TN
2026-06-25T15:21:28.815+00:00,4.0,41,4.0551,4.0611,4.0577,26.57,1.57,-2.905,0.0198,99.89,97.74,98.94,0x0000,NONE,CLOSED,CLOSED,0,TN
2026-06-25T15:21:28.943+00:00,5.0,51,4.0535,4.0559,4.0462,26.37,1.37,-2.891,0.0193,99.86,97.73,98.94,0x0000,NONE,CLOSED,CLOSED,0,TN
2026-06-25T15:21:29.071+00:00,6.0,61,4.0508,4.0372,4.0483,26.58,1.58,-2.876,0.0160,99.83,97.71,98.95,0x0000,NONE,CLOSED,CLOSED,0,TN
2026-06-25T15:21:29.190+00:00,7.0,71,4.0530,4.0427,4.0489,26.64,1.64,-2.921,0.0152,99.81,97.69,98.96,0x0000,NONE,CLOSED,CLOSED,0,TN
2026-06-25T15:21:29.316+00:00,8.0,81,4.0510,4.0547,4.0764,26.47,1.47,-2.900,0.0237,99.78,97.68,98.97,0x0000,NONE,CLOSED,CLOSED,0,TN
2026-06-25T15:21:29.442+00:00,9.0,91,4.0516,4.0570,4.0454,26.54,1.54,-2.882,0.0201,99.75,97.66,98.98,0x0000,NONE,CLOSED,CLOSED,0,TN
2026-06-25T15:21:29.580+00:00,10.0,101,4.0467,4.0437,4.0351,26.50,1.50,-2.909,0.0165,99.72,97.62,98.97,0x0000,NONE,CLOSED,CLOSED,0,TN
2026-06-25T15:21:29.692+00:00,11.0,111,4.0449,4.0484,4.0403,26.70,1.70,-2.877,0.0202,99.69,97.61,98.98,0x0000,NONE,CLOSED,CLOSED,0,TN
2026-06-25T15:21:29.817+00:00,12.0,121,4.0527,4.0444,4.0284,26.61,1.61,-2.886,0.0232,99.67,97.60,98.99,0x0000,NONE,CLOSED,CLOSED,0,TN
2026-06-25T15:21:29.940+00:00,13.0,131,4.0454,4.0422,4.0376,26.56,1.56,-2.909,0.0152,99.64,97.56,98.99,0x0000,NONE,CLOSED,CLOSED,0,TN
2026-06-25T15:21:30.067+00:00,14.0,141,4.0504,4.0537,4.0533,26.55,1.55,-2.880,0.0144,99.61,97.57,99.02,0x0000,NONE,CLOSED,CLOSED,0,TN
2026-06-25T15:21:30.191+00:00,15.0,151,4.0501,4.0488,4.0506,26.61,1.61,-2.907,0.0153,99.58,97.56,99.03,0x0000,NONE,CLOSED,CLOSED,0,TN
2026-06-25T15:21:30.317+00:00,16.0,161,4.0461,4.0383,4.0381,26.45,1.45,-2.904,0.0134,99.56,97.52,99.02,0x0000,NONE,CLOSED,CLOSED,0,TN
2026-06-25T15:21:30.442+00:00,17.0,171,4.0461,4.0408,4.0727,26.64,1.64,-2.897,0.0148,99.53,97.54,99.06,0x0000,NONE,CLOSED,CLOSED,0,TN
2026-06-25T15:21:30.583+00:00,18.0,181,4.0503,4.0609,4.0440,26.69,1.69,-2.902,0.0149,99.50,97.52,99.08,0x0000,NONE,CLOSED,CLOSED,0,TN
2026-06-25T15:21:30.692+00:00,19.0,191,4.0468,4.0607,4.0322,26.51,1.51,-2.891,0.0157,99.47,97.48,99.06,0x0000,NONE,CLOSED,CLOSED,0,TN
2026-06-25T15:21:30.816+00:00,20.0,201,4.0489,4.0516,4.0779,26.57,1.57,-2.917,0.0153,99.44,97.48,99.10,0x0000,NONE,CLOSED,CLOSED,0,TN
2026-06-25T15:21:30.942+00:00,21.0,211,4.0492,4.0566,4.0679,26.56,1.56,-2.913,0.0168,99.42,97.47,99.11,0x0000,NONE,CLOSED,CLOSED,0,TN
2026-06-25T15:21:31.067+00:00,22.0,221,4.0541,4.0523,4.0370,26.59,1.59,-2.859,0.0153,99.39,97.43,99.09,0x0000,NONE,CLOSED,CLOSED,0,TN
2026-06-25T15:21:31.189+00:00,23.0,231,4.0446,4.0328,4.0505,26.60,1.60,-2.910,0.0230,99.36,97.41,99.11,0x0000,NONE,CLOSED,CLOSED,0,TN
2026-06-25T15:21:31.316+00:00,24.0,241,4.0441,4.0370,4.0259,26.61,1.61,-2.901,0.0226,99.33,97.38,99.10,0x0000,NONE,CLOSED,CLOSED,0,TN
2026-06-25T15:21:31.442+00:00,25.0,251,4.0424,4.0394,4.0423,26.67,1.67,-2.893,0.0162,99.31,97.38,99.13,0x0000,NONE,CLOSED,CLOSED,0,TN
2026-06-25T15:21:31.581+00:00,26.0,261,4.0431,4.0412,4.0422,26.62,1.62,-2.885,0.0149,99.28,97.37,99.15,0x0000,NONE,CLOSED,CLOSED,0,TN
2026-06-25T15:21:31.692+00:00,27.0,271,4.0499,4.0440,4.0443,26.77,1.77,-2.908,0.0186,99.25,97.36,99.17,0x0000,NONE,CLOSED,CLOSED,0,TN
2026-06-25T15:21:31.814+00:00,28.0,281,4.0456,4.0495,4.0220,26.58,1.58,-2.902,0.0180,99.22,97.33,99.16,0x0000,NONE,CLOSED,CLOSED,0,TN
2026-06-25T15:21:31.942+00:00,29.0,291,4.0443,4.0423,4.0525,26.67,1.67,-2.891,0.0155,99.19,97.32,99.19,0x0000,NONE,CLOSED,CLOSED,0,TN
2026-06-25T15:21:32.067+00:00,30.0,301,4.0421,4.0561,4.0412,26.71,1.71,-2.926,0.0261,99.17,97.31,99.21,0x0000,NONE,CLOSED,CLOSED,0,TN
2026-06-25T15:21:32.192+00:00,31.0,311,4.0436,4.0532,4.0546,26.68,1.68,-2.895,0.0197,99.14,97.29,99.22,0x0000,NONE,CLOSED,CLOSED,0,TN
2026-06-25T15:21:32.317+00:00,32.0,321,4.0443,4.0506,4.0515,26.72,1.72,-2.915,0.0193,99.11,97.28,99.23,0x0000,NONE,CLOSED,CLOSED,0,TN
2026-06-25T15:21:32.440+00:00,33.0,331,4.0436,4.0558,4.0538,26.78,1.78,-2.895,0.0160,99.08,97.27,99.25,0x0000,NONE,CLOSED,CLOSED,0,TN
