type,start_time,ambient_temperature,battery_id,test_id,uid,filename,Capacity,Re,Rct
impedance,[2.0090e+03 2.0000e+00 1.3000e+01 1.9000e+01 3.0000e+00 5.2109e+01],24,B0028,0,1450,01450.csv,,0.08141136501428463,0.13435294061149733
charge,[2.0090e+03 2.0000e+00 1.3000e+01 1.9000e+01 3.5000e+01 3.5093e+01],24,B0028,1,1451,01451.csv,,,
impedance,[2.0090e+03 2.0000e+00 1.3000e+01 2.2000e+01 4.0000e+01 4.5046e+01],24,B0028,2,1452,01452.csv,,0.08176458673559299,0.10682087072021014
discharge,[2.0090e+03 2.0000e+00 1.3000e+01 2.3000e+01 1.2000e+01 2.8078e+01],24,B0028,3,1453,01453.csv,1.8046847720100736,,
charge,[2.0090e+03 2.0000e+00 1.4000e+01 1.0000e+00 2.0000e+00 2.3062e+01],24,B0028,4,1454,01454.csv,,,
discharge,[2.0090e+03 2.0000e+00 1.4000e+01 4.0000e+00 3.0000e+00 3.4578e+01],24,B0028,5,1455,01455.csv,1.8047833214525881,,
charge,[2.0090e+03 2.0000e+00 1.4000e+01 5.0000e+00 5.3000e+01 3.0656e+01],24,B0028,6,1456,01456.csv,,,
discharge,[2.0090e+03 2.0000e+00 1.4000e+01 8.0000e+00 5.4000e+01 4.1468e+01],24,B0028,7,1457,01457.csv,1.797618668222458,,
charge,[2.0090e+03 2.0000e+00 1.4000e+01 1.0000e+01 4.4000e+01 1.1093e+01],24,B0028,8,1458,01458.csv,,,
discharge,[2.0090e+03 2.0000e+00 1.4000e+01 1.3000e+01 4.5000e+01 2.3546e+01],24,B0028,9,1459,01459.csv,1.7929913687761174,,
charge,[2.0090e+03 2.0000e+00 1.4000e+01 1.5000e+01 3.4000e+01 3.5156e+01],24,B0028,10,1460,01460.csv,,,
discharge,[2.0090e+03 2.0000e+00 1.4000e+01 1.8000e+01 3.5000e+01 4.0671e+01],24,B0028,11,1461,01461.csv,1.7919180081592216,,
impedance,[2.0090e+03 2.0000e+00 1.4000e+01 2.0000e+01 2.8000e+01 4.7968e+01],24,B0028,12,1462,01462.csv,,0.0808258053141002,0.121797260168767
charge,[2.0090e+03 2.0000e+00 1.4000e+01 2.1000e+01 0.0000e+00 3.1546e+01],24,B0028,13,1463,01463.csv,,,
impedance,[2.009e+03 2.000e+00 1.500e+01 0.000e+00 5.000e+00 9.796e+00],24,B0028,14,1464,01464.csv,,0.08049755262582456,0.10171699274990839
discharge,[2.0090e+03 2.0000e+00 1.8000e+01 1.0000e+01 4.8000e+01 5.8156e+01],24,B0028,15,1465,01465.csv,1.775026135903797,,
impedance,[2.009e+03 2.000e+00 1.800e+01 1.200e+01 4.100e+01 9.765e+00],24,B0028,16,1466,01466.csv,,0.07999808984375359,0.11499739391717384
charge,[2.009e+03 2.000e+00 1.800e+01 1.300e+01 1.200e+01 5.364e+01],24,B0028,17,1467,01467.csv,,,
impedance,[2.0090e+03 2.0000e+00 1.8000e+01 1.6000e+01 1.7000e+01 2.3281e+01],24,B0028,18,1468,01468.csv,,0.07921399064492479,0.10231508026191471
discharge,[2.009e+03 2.000e+00 1.800e+01 1.600e+01 4.900e+01 7.390e+00],24,B0028,19,1469,01469.csv,1.7920487852223415,,
charge,[2.0090e+03 2.0000e+00 1.8000e+01 1.8000e+01 3.8000e+01 2.2812e+01],24,B0028,20,1470,01470.csv,,,
charge,[2.009e+03 2.000e+00 1.800e+01 2.200e+01 2.000e+01 1.140e+00],24,B0028,21,1471,01471.csv,,,
discharge,[2.0090e+03 2.0000e+00 1.9000e+01 0.0000e+00 5.2000e+01 4.9687e+01],24,B0028,22,1472,01472.csv,1.790475801581265,,
charge,[2.009e+03 2.000e+00 1.900e+01 2.000e+00 4.100e+01 5.214e+01],24,B0028,23,1473,01473.csv,,,
discharge,[2.009e+03 2.000e+00 1.900e+01 5.000e+00 3.800e+01 5.714e+01],24,B0028,24,1474,01474.csv,1.7868365091987264,,
charge,[2.0090e+03 2.0000e+00 1.9000e+01 7.0000e+00 2.7000e+01 4.8015e+01],24,B0028,25,1475,01475.csv,,,
discharge,[2.0090e+03 2.0000e+00 1.9000e+01 1.0000e+01 2.5000e+01 1.5218e+01],24,B0028,26,1476,01476.csv,1.7871529619962185,,
impedance,[2.009e+03 2.000e+00 1.900e+01 1.200e+01 1.800e+01 4.484e+00],24,B0028,27,1477,01477.csv,,0.08024079983592583,0.11464434041763144
